MUNICIPIO,PG_ICFES
NO REGISTRA,320.0
NO REGISTRA,315.0
NO REGISTRA,322.0
GUACHUCAL,398.0
FUSAGASUGA,392.0
BOJACA,305.0
BOJACA,312.0
NO REGISTRA,314.0
NO REGISTRA,310.0
NO REGISTRA,302.0
NO REGISTRA,318.0
NO REGISTRA,389.0
NO REGISTRA,347.0
NO REGISTRA,340.0
NO REGISTRA,342.0
BOJACA,416.0
NO REGISTRA,338.0
NO REGISTRA,376.0
NO REGISTRA,357.0
NO REGISTRA,350.0
NO REGISTRA,373.0
NO REGISTRA,329.0
NO REGISTRA,359.0
NO REGISTRA,338.0
NO REGISTRA,341.0
NO REGISTRA,339.0
NO REGISTRA,340.0
NO REGISTRA,352.0
NO REGISTRA,336.0
NO REGISTRA,370.0
NO REGISTRA,365.0
