PG_ICFES,DEPARTAMENTO
354.0,NO REGISTRA
345.0,NO REGISTRA
354.0,NO REGISTRA
343.0,NO REGISTRA
358.0,NO REGISTRA
355.0,NO REGISTRA
343.0,NO REGISTRA
355.0,NO REGISTRA
358.0,NO REGISTRA
358.0,NO REGISTRA
357.0,NO REGISTRA
352.0,NO REGISTRA
347.0,NO REGISTRA
349.0,NO REGISTRA
350.0,NO REGISTRA
358.0,NO REGISTRA
360.0,NO REGISTRA
364.0,NO REGISTRA
491.0,CUNDINAMARCA
471.0,BOGOTA
458.0,BOYACA
437.0,BOGOTA
407.0,CUNDINAMARCA
458.0,CUNDINAMARCA
429.0,BOGOTA
455.0,BOGOTA
417.0,BOGOTA
430.0,TOLIMA
436.0,BOGOTA
442.0,BOGOTA
433.0,BOGOTA
417.0,BOGOTA
427.0,BOGOTA
421.0,BOGOTA
414.0,BOGOTA
354.0,NO REGISTRA
424.0,BOGOTA
324.0,NO REGISTRA
400.0,CUNDINAMARCA
342.0,NO REGISTRA
414.0,BOGOTA
409.0,CAQUETA
351.0,NO REGISTRA
309.0,NO REGISTRA
295.0,NO REGISTRA
346.0,NO REGISTRA
342.0,NO REGISTRA
352.0,NO REGISTRA
361.0,NO REGISTRA
332.0,NO REGISTRA
343.0,NO REGISTRA
345.0,NO REGISTRA
333.0,NO REGISTRA
344.0,NO REGISTRA
330.0,NO REGISTRA
345.0,NO REGISTRA
416.0,BOGOTA
420.0,BOGOTA
355.0,NO REGISTRA
346.0,NO REGISTRA
299.0,NO REGISTRA
416.0,NO REGISTRA
541.0,BOGOTA
397.0,NO REGISTRA
370.0,CUNDINAMARCA
377.0,CUNDINAMARCA
376.0,NO REGISTRA
367.0,BOGOTA
361.0,NO REGISTRA
363.0,NO REGISTRA
366.0,BOGOTA
352.0,BOGOTA
361.0,NO REGISTRA
364.0,NO REGISTRA
360.0,META
365.0,BOGOTA
348.0,NO REGISTRA
365.0,CUNDINAMARCA
348.0,NO REGISTRA
362.0,BOYACA
362.0,BOGOTA
341.0,NO REGISTRA
482.0,BOGOTA
490.0,BOGOTA
349.0,BOGOTA
350.0,BOGOTA
337.0,NO REGISTRA
343.0,CUNDINAMARCA
353.0,BOGOTA
360.0,BOGOTA
337.0,NO REGISTRA
337.0,BOGOTA
484.0,BOGOTA
339.0,NO REGISTRA
347.0,BOGOTA
345.0,NO REGISTRA
352.0,BOGOTA
337.0,BOYACA
345.0,NO REGISTRA
343.0,NO REGISTRA
336.0,NO REGISTRA
460.0,CUNDINAMARCA
339.0,BOGOTA
344.0,BOGOTA
342.0,BOGOTA
348.0,CUNDINAMARCA
351.0,BOGOTA
470.0,BOGOTA
463.86,BOGOTA
325.0,NO REGISTRA
347.0,CUNDINAMARCA
337.0,NO REGISTRA
347.0,BOGOTA
340.0,BOGOTA
348.0,NO REGISTRA
332.0,BOGOTA
434.0,BOGOTA
335.0,BOYACA
331.0,CUNDINAMARCA
334.0,META
335.0,BOGOTA
326.0,NO REGISTRA
337.0,BOGOTA
327.0,CUNDINAMARCA
348.0,BOGOTA
323.0,NO REGISTRA
332.0,CUNDINAMARCA
439.0,NO REGISTRA
331.0,BOGOTA
330.0,NO REGISTRA
449.0,BOGOTA
334.0,NO REGISTRA
326.0,HUILA
340.0,NO REGISTRA
332.0,NO REGISTRA
452.0,TOLIMA
449.0,BOGOTA
459.0,BOGOTA
428.0,CASANARE
433.0,BOGOTA
426.59,BOYACA
434.0,BOGOTA
416.0,CUNDINAMARCA
416.0,CUNDINAMARCA
432.0,BOGOTA
407.0,BOGOTA
422.06,BOGOTA
401.0,META
420.0,BOGOTA
422.0,SANTANDER
421.0,CUNDINAMARCA
415.0,BOGOTA
396.0,CUNDINAMARCA
406.0,CUNDINAMARCA
413.0,BOGOTA
409.0,BOGOTA
404.0,BOGOTA
400.0,NARINO
395.0,BOGOTA
405.0,BOGOTA
420.0,CUNDINAMARCA
394.0,BOGOTA
409.0,BOGOTA
423.0,BOGOTA
321.0,BOGOTA
315.0,NO REGISTRA
295.0,BOGOTA
283.0,BOGOTA
371.0,BOGOTA
305.0,BOGOTA
371.57,CUNDINAMARCA
356.0,NO REGISTRA
313.0,NO REGISTRA
402.0,NARINO
282.0,NARINO
342.0,BOGOTA
400.0,NO REGISTRA
415.0,BOGOTA
327.0,BOGOTA
333.0,BOGOTA
