NOTA_INGECO;NOTA_DDP;NOTA_CTRL;NOTA_CONEM;NOTA_TDE;VECES_INGECO;PROMEDIO_CUATRO;VECES_IO_DOS;VECES_DDP;NAC_CINCO;NOTAS_RDC;VECES_CTRL;VECES_RDC;NOTA_IO_DOS;VECES_CONEM;NOTA_EL_DOS;VECES_CEM;VECES_TDE;NCP_CINCO;NCC_CINCO;NOTA_GENH;EPA_CINCO;VECES_INSE;NOTA_ASD;NCA_CINCO;NAA_CINCO;NOTA_INSE;NOTA_IO_UNO;NOTA_IYM;PROMEDIO_CINCO;VECES_IYM;CAR_CINCO;NOTA_CEM;NAP_CINCO;CREDITOS_TDE;CREDITOS_IO_DOS;CREDITOS_INGECO;NOTA_EE_UNO;CREDITOS_CONEM;CREDITOS_RDC;CREDITOS_DDP;CREDITOS_CTRL;RENDIMIENTO_SEIS;PROMEDIO_SEIS
38;50;37;30;39;1;36.11764705882353;1;1;7;41;1;1;37;1;31;1;2;0.0;17.0;35;2;1;34;17.0;7;40;39;34;36.11764705882353;1;0;32;0;3;2;2;40;3;2;3;2;2.0;39.0
35;50;44;43;41;1;40.76470588235294;1;1;7;44;1;1;47;1;30;1;1;0.0;17.0;50;2;1;35;17.0;7;44;37;48;43.88235294117647;1;0;40;0;3;2;2;50;3;2;3;2;3.0;43.64705882352941
30;45;40;39;39;1;41.588235294117645;1;1;7;41;1;1;46;1;35;1;1;0.0;17.0;50;2;1;40;17.0;7;43;32;46;39.88235294117647;1;0;30;0;3;2;2;40;3;2;3;2;3.0;40.1764705882353
35;50;43;37;38;1;39.411764705882355;1;1;7;42;1;1;42;1;30;1;1;0.0;17.0;50;2;1;43;17.0;7;45;42;45;43.23529411764706;1;0;30;0;3;2;2;50;3;2;3;2;3.0;41.11764705882353
30;40;33;47;44;1;36.294117647058826;1;1;7;41;1;1;31;2;30;2;1;0.0;17.0;50;2;1;39;17.0;7;36;41;50;42.8235294117647;1;1;32;0;3;2;2;50;3;2;3;2;2.0;39.0
36;49;31;39;41;1;36.294117647058826;1;1;7;42;1;1;40;2;30;1;1;0.0;17.0;30;2;1;45;17.0;7;39;35;43;39.23529411764706;1;0;30;0;3;2;2;50;3;2;3;2;3.0;40.294117647058826
36;40;43;43;34;1;37.529411764705884;1;1;7;42;1;1;33;1;36;1;1;0.0;17.0;31;2;1;43;17.0;7;38;41;41;37.588235294117645;1;0;31;0;3;2;2;39;3;2;3;2;2.0;38.76470588235294
37;50;35;35;35;1;35.88235294117647;1;1;7;39;1;1;41;1;30;1;1;0.0;17.0;50;2;1;45;17.0;7;40;35;40;39.76470588235294;1;0;35;0;3;2;2;37;3;2;3;2;2.0;39.05882352941177
37;44;43;40;43;1;39.294117647058826;1;1;7;41;1;1;34;2;34;2;1;0.0;17.0;41;2;1;39;17.0;7;43;43;43;40.1764705882353;1;1;30;0;3;2;2;44;3;2;3;2;3.0;40.64705882352941
35;45;38;37;32;1;34.1764705882353;2;1;7;42;2;1;41;1;38;3;1;0.0;17.0;34;2;1;37;17.0;7;34;34;38;38.05882352941177;1;2;42;0;3;2;2;43;3;2;3;2;2.0;38.470588235294116
35;47;37;34;42;1;37.76470588235294;1;1;7;39;1;1;41;1;35;2;1;0.0;17.0;31;2;1;43;17.0;7;37;33;45;37.23529411764706;1;1;30;0;3;2;2;40;3;2;3;2;2.0;39.588235294117645
33;50;38;35;35;1;37.35294117647059;1;1;6;42;1;1;38;1;30;1;1;0.0;14.0;50;2;1;45;14.0;6;40;45;40;41.785714285714285;1;0;35;0;3;2;2;0;3;2;3;2;2.0;38.94117647058823
31;0;0;0;0;1;35.333333333333336;0;0;4;0;0;0;0;0;31;2;0;0.0;11.0;30;2;0;0;11.0;4;0;0;41;38.72727272727273;2;2;41;0;3;2;2;40;3;2;3;2;2.0;31.0
36;40;37;34;36;2;34.588235294117645;1;1;7;40;2;1;36;1;33;1;1;0.0;17.0;50;2;1;36;17.0;7;36;32;30;35.94117647058823;1;0;30;0;3;2;2;41;3;2;3;2;2.0;36.94117647058823
38;49;41;36;39;1;36.05882352941177;1;1;7;40;1;1;43;1;35;1;1;0.0;17.0;50;2;1;40;17.0;7;43;40;46;41.705882352941174;1;0;35;0;3;2;2;40;3;2;3;2;3.0;40.94117647058823
